symbol,data_days,start_date,end_date,avg_volume_usd,dev_mean_pct,dev_std_pct,corr_raw_next,corr_diff_next,corr_zscore_next,total_return,sharpe,win_rate,max_drawdown,extreme_down_count,extreme_down_reversal_pct,extreme_up_count,extreme_up_reversal_pct,return_2025,return_2026,return_2024,return_2023,return_2021,return_2022
BB,663,2024-05-13,2026-03-06,12083453.697320228,-0.06650902339090384,0.09896501412720282,-0.002588922382369288,-0.04504241545245168,-0.07350569833055502,3.9334260977093813,1.6476743509493237,54.08320493066255,-0.6252315020303413,13,38.46153846153847,9,66.66666666666666,3.080127470789946,-0.03190309487525256,0.8852017217946894,,,
JST,313,2025-04-28,2026-03-06,2714992.5370139075,-0.15852170202611454,0.11665157512802608,-0.06574103841543748,-0.05204325722486978,-0.02041959602305086,0.6735962045446999,1.6162146138276543,50.50167224080268,-0.4355176823332627,11,45.45454545454545,3,33.33333333333333,0.3261070410473609,0.34748916349733905,,,,
AVNT,173,2025-09-15,2026-03-06,50326394.42323203,-0.2628053679628419,0.284397497749859,-0.02791927210910609,0.022115297142735715,-0.05700068066422085,1.0261844860684357,1.6011806465683578,46.540880503144656,-0.5888571694890048,11,54.54545454545454,1,0.0,0.8052510520827202,0.22093343398571552,,,,
CETUS,486,2024-11-06,2026-03-06,6779691.935134649,-0.05783000188385463,0.1180809054483071,-0.025648543951920323,-0.01699343973181572,-0.03173070506348206,2.635187297609927,1.5762605320340706,54.02542372881356,-1.187825198141097,12,50.0,6,50.0,1.8235437015443952,0.3609946732685019,0.4506489227970294,,,
AT,100,2025-11-27,2026-03-06,15938308.341180597,-0.06343261011974945,0.20679900153761996,0.1467592365373908,0.15813562436867779,0.05916877803415802,0.5417979406572395,1.5662582918621486,52.32558139534884,-0.4358520726235693,0,,2,0.0,0.514879743172755,0.02691819748448454,,,,
HYPER,319,2025-04-22,2026-03-06,7461028.960639091,-0.16245369336303417,0.14971524514572448,-0.03886292355818591,0.02099837612937364,-0.05642492711739321,5.331619281230067,1.457720953487759,53.77049180327869,-0.6128400534266953,10,20.0,2,50.0,5.446421179256047,-0.11480189802597585,,,,
RIF,868,2023-10-21,2026-03-06,2465691.3766495,-0.00048820878023718835,0.1390208490850076,-0.07317568356307849,-0.060821161148423834,-0.06607656571506293,3.35049532424986,1.4253583177218718,52.57611241217799,-0.8229295861774715,17,70.58823529411765,18,50.0,1.5232511713502308,0.12631350214055292,0.9953837277196709,0.705546923039404,,
PHA,432,2024-12-30,2026-03-06,5257581.179400001,-0.08512857029891838,0.11941694895426441,-0.03532410324183366,-0.04230103660828966,-0.07125414667276543,1.8776741922478206,1.38686808553153,51.91387559808612,-0.7954785806301954,15,53.333333333333336,6,50.0,1.0846134429472298,0.7930607493005922,,,,
HOME,268,2025-06-12,2026-03-06,2919399.2711169035,-0.04102076098426075,0.09046382406723875,0.09669522550479875,0.07250617474256078,0.013337591411196774,0.8063860691774154,1.3661668209014224,50.0,-0.3769061620132601,2,0.0,6,33.33333333333333,0.6321787136108642,0.17420735556655076,,,,
EPIC,359,2025-03-13,2026-03-06,3261351.915750697,-0.13210046692175204,0.12577849431076266,-0.0023829171270533327,0.08182753136508931,0.023398595811543108,2.044839938843448,1.3412304496275862,50.43478260869565,-0.6589418186165499,8,37.5,5,40.0,1.5199632064684634,0.5248767323749852,,,,
PLUME,201,2025-08-18,2026-03-06,10605556.780063882,-0.0989323632093911,0.10885155117981234,0.004660923838216099,-0.042550297580810206,-0.08359686500663134,0.835912720004196,1.3285140346108597,50.26737967914438,-0.7593736918260096,6,33.33333333333333,4,50.0,0.34172411732462693,0.4941886026795691,,,,
W,703,2024-04-03,2026-03-06,13818428.612691678,-0.030372811544230806,0.10929312459184831,-0.019069241156843435,0.005987086109222472,-0.047946414580563326,2.840251809348027,1.3216564711010268,52.5399129172714,-0.9089852703738782,16,43.75,11,27.27272727272727,2.020940466877784,0.8807159527479558,-0.061404610277713045,,,
GPS,368,2025-03-04,2026-03-06,3738810.153518674,-0.10291041714082146,0.22071173508481576,0.09778091881018841,0.13041708248599948,0.007602741421604487,1.879301677158037,1.3114352891967411,51.9774011299435,-0.9348991932770259,13,38.46153846153847,6,33.33333333333333,1.2209252967900808,0.658376380367957,,,,
SSV,1107,2023-02-24,2026-03-06,8543233.782005157,-0.02818896060419791,0.09528918208047742,0.009723098896454578,-0.044457994466202126,-0.0481049401057162,4.52554282709741,1.3016196693503217,52.05855443732845,-2.5295068619559853,22,50.0,25,76.0,1.2612824211011486,1.0704192897509472,0.6424522123103878,1.5513889039349302,,
BTC,1892,2020-12-31,2026-03-06,2648500179.1256347,-0.018030004274909736,0.05003782823674071,-0.0011971405687606431,-0.04247481071398999,-0.04575703463558703,3.78667008016113,1.2647950120337588,52.12992545260916,-0.5874842766945451,40,57.49999999999999,54,51.85185185185185,0.26701772534071,0.3064475031659839,0.18649270023493025,0.7396692016267394,1.231128917347465,1.0559140324453027
UMA,1032,2023-05-10,2026-03-06,4456973.584531105,-0.04505850720915199,0.24212785293616937,-0.22535875222513213,-0.1659809371098831,-0.08096430753225588,4.094079262106001,1.2615301120775508,52.652259332023576,-0.7961829386471218,35,48.57142857142857,19,36.84210526315789,2.3079694859340174,-0.5393645811809401,1.9268924109608823,0.398581946392051,,
FORTH,333,2025-04-08,2026-03-06,1241319.41190009,-0.0933665016730105,0.11541092655918324,0.024818547189056347,0.06997298975586146,0.019900398063994344,0.8473490673617295,1.239650430438164,55.172413793103445,-0.5310526727353748,5,20.0,8,25.0,0.946073623554854,-0.09872455619312426,,,,
