date,symbol,signal,zscore,perp_ror,pnl,cum_hodl,cum_pnl
2025-05-20 00:00:00+00:00,KMNO,-1.0,-0.007385520417696101,0.107540173053152,-0.107540173053152,0.107540173053152,-0.107540173053152
2025-05-21 00:00:00+00:00,KMNO,1.0,-1.03351646550758,0.039760044642857206,0.039760044642857206,0.1473002176960092,-0.0677801284102948
2025-05-22 00:00:00+00:00,KMNO,1.0,-1.9906797979830257,0.029920837246746324,0.029920837246746324,0.17722105494275553,-0.03785929116354847
2025-05-23 00:00:00+00:00,KMNO,1.0,-2.2319699287887906,-0.10917144346013552,-0.10917144346013552,0.06804961148262001,-0.147030734623684
2025-05-24 00:00:00+00:00,KMNO,1.0,0.05149759432476935,0.007458321146534219,0.007458321146534219,0.07550793262915423,-0.13957241347714977
2025-05-25 00:00:00+00:00,KMNO,-1.0,-1.0733310325685805,-0.04557991000145167,0.04557991000145167,0.029928022627702555,-0.0939925034756981
2025-05-26 00:00:00+00:00,KMNO,1.0,-0.2644769716679251,0.004106463878326805,0.004106463878326805,0.03403448650602936,-0.08988603959737129
2025-05-27 00:00:00+00:00,KMNO,1.0,0.3843400520926222,0.014995455922447887,0.014995455922447887,0.04902994242847725,-0.0748905836749234
2025-05-28 00:00:00+00:00,KMNO,-1.0,0.050694055793357756,-0.03790479032980154,0.03790479032980154,0.011125152098675706,-0.036985793345121865
2025-05-29 00:00:00+00:00,KMNO,-1.0,-0.8288813224983251,-0.037381727935473896,0.037381727935473896,-0.02625657583679819,0.0003959345903520317
2025-05-30 00:00:00+00:00,KMNO,1.0,-1.5837335472077358,-0.1263293586851434,-0.1263293586851434,-0.15258593452194158,-0.12593342409479136
2025-05-31 00:00:00+00:00,KMNO,1.0,-0.8699272975018846,0.00092216894135011,0.00092216894135011,-0.15166376558059147,-0.12501125515344125
2025-06-01 00:00:00+00:00,KMNO,1.0,0.7087749359312179,0.06891468583010862,0.06891468583010862,-0.08274907975048285,-0.05609656932333262
2025-06-02 00:00:00+00:00,KMNO,-1.0,0.18649011165144438,-0.03378727805550763,0.03378727805550763,-0.11653635780599048,-0.022309291267824993
2025-06-03 00:00:00+00:00,KMNO,-1.0,0.7006246977673382,0.020160570918822396,-0.020160570918822396,-0.09637578688716808,-0.04246986218664739
2025-06-04 00:00:00+00:00,KMNO,-1.0,1.6985063966746363,-0.0711787338230151,0.0711787338230151,-0.16755452071018317,0.028708871636367705
2025-06-05 00:00:00+00:00,KMNO,-1.0,0.2701499904369886,-0.011485595932969273,0.011485595932969273,-0.17904011664315245,0.04019446756933698
2025-06-06 00:00:00+00:00,KMNO,-1.0,1.9788379115918948,0.014666666666666606,-0.014666666666666606,-0.16437344997648584,0.025527800902670372
2025-06-07 00:00:00+00:00,KMNO,-1.0,0.03230184092592283,-0.0058194105500281035,0.0058194105500281035,-0.17019286052651394,0.031347211452698476
2025-06-08 00:00:00+00:00,KMNO,-1.0,1.1744367779266454,-0.0011329305135950873,0.0011329305135950873,-0.17132579104010903,0.03248014196629356
2025-06-09 00:00:00+00:00,KMNO,-1.0,1.0699442812392843,0.05368620037807181,-0.05368620037807181,-0.11763959066203722,-0.02120605841177825
2025-06-10 00:00:00+00:00,KMNO,-1.0,1.6225580794110963,0.12127735916756377,-0.12127735916756377,0.0036377685055265507,-0.14248341757934202
2025-06-11 00:00:00+00:00,KMNO,-1.0,0.8457495862044703,0.04048000000000007,-0.04048000000000007,0.04411776850552662,-0.1829634175793421
2025-06-12 00:00:00+00:00,KMNO,-1.0,0.44456003830680374,-0.09334153467630335,0.09334153467630335,-0.04922376617077673,-0.08962188290303874
2025-06-13 00:00:00+00:00,KMNO,-1.0,-1.2550242027576906,0.11550203527815461,-0.11550203527815461,0.06627826910737789,-0.20512391818119335
2025-06-14 00:00:00+00:00,KMNO,1.0,-0.770331724118123,-0.04348487152197056,-0.04348487152197056,0.022793397585407327,-0.2486087897031639
2025-06-15 00:00:00+00:00,KMNO,1.0,-1.0483644980479154,0.0818629788586871,0.0818629788586871,0.10465637644409442,-0.16674581084447682
2025-06-16 00:00:00+00:00,KMNO,1.0,0.2654527221178908,0.018953864237437612,0.018953864237437612,0.12361024068153204,-0.1477919466070392
2025-06-17 00:00:00+00:00,KMNO,-1.0,-0.9264468607366765,-0.03994232155731792,0.03994232155731792,0.08366791912421412,-0.10784962504972129
2025-06-18 00:00:00+00:00,KMNO,1.0,0.25329653360822263,0.00270351456893958,0.00270351456893958,0.0863714336931537,-0.10514611048078171
2025-06-19 00:00:00+00:00,KMNO,-1.0,-0.4070328542610272,-0.016476932294787305,0.016476932294787305,0.0698945013983664,-0.0886691781859944
2025-06-20 00:00:00+00:00,KMNO,1.0,-0.39813786788469213,-0.04264392324093813,-0.04264392324093813,0.027250578157428262,-0.13131310142693253
2025-06-21 00:00:00+00:00,KMNO,1.0,0.1285710883269857,-0.04597518294622971,-0.04597518294622971,-0.018724604788801447,-0.17728828437316224
2025-06-22 00:00:00+00:00,KMNO,-1.0,1.1119839086228716,-0.060697015174253854,0.060697015174253854,-0.0794216199630553,-0.11659126919890839
2025-06-23 00:00:00+00:00,KMNO,-1.0,-0.10623633993934307,0.11450381679389321,-0.11450381679389321,0.03508219683083791,-0.2310950859928016
2025-06-24 00:00:00+00:00,KMNO,1.0,1.9746626924384167,-0.02755654667091434,-0.02755654667091434,0.007525650159923569,-0.25865163266371594
2025-06-25 00:00:00+00:00,KMNO,-1.0,0.19291184892751617,-0.03570843570843574,0.03570843570843574,-0.028182785548512168,-0.2229431969552802
2025-06-26 00:00:00+00:00,KMNO,-1.0,-1.5466286427989082,-0.038049940546967864,0.038049940546967864,-0.06623272609548003,-0.18489325640831233
2025-06-27 00:00:00+00:00,KMNO,1.0,0.550506683339691,0.02013067278827485,0.02013067278827485,-0.04610205330720518,-0.16476258362003748
2025-06-28 00:00:00+00:00,KMNO,-1.0,0.1729159673468147,0.03756274883157351,-0.03756274883157351,-0.00853930447563167,-0.202325332451611
2025-06-29 00:00:00+00:00,KMNO,-1.0,1.922934636902307,0.03403403403403393,-0.03403403403403393,0.025494729558402263,-0.23635936648564493
2025-06-30 00:00:00+00:00,KMNO,-1.0,-0.38122267212393257,-0.037270087124879,0.037270087124879,-0.01177535756647674,-0.19908927936076593
2025-07-01 00:00:00+00:00,KMNO,1.0,-1.4127731214446404,-0.03703703703703709,-0.03703703703703709,-0.04881239460351383,-0.23612631639780302
2025-07-02 00:00:00+00:00,KMNO,1.0,0.3309057123273023,0.070657848938392,0.070657848938392,0.021845454334878167,-0.16546846745941102
