date,symbol,pnl_gross,pnl_net,cum_gross,cum_net
2025-05-20 00:00:00+00:00,KMNO,-0.107540173053152,-0.107940173053152,-0.107540173053152,-0.107940173053152
2025-05-21 00:00:00+00:00,KMNO,0.039760044642857206,0.038960044642857204,-0.0677801284102948,-0.0689801284102948
2025-05-22 00:00:00+00:00,KMNO,0.029920837246746324,0.029920837246746324,-0.03785929116354847,-0.039059291163548476
2025-05-23 00:00:00+00:00,KMNO,-0.10917144346013552,-0.10917144346013552,-0.147030734623684,-0.148230734623684
2025-05-24 00:00:00+00:00,KMNO,0.007458321146534219,0.007458321146534219,-0.13957241347714977,-0.14077241347714978
2025-05-25 00:00:00+00:00,KMNO,0.04557991000145167,0.04477991000145167,-0.0939925034756981,-0.0959925034756981
2025-05-26 00:00:00+00:00,KMNO,0.004106463878326805,0.003306463878326805,-0.08988603959737129,-0.09268603959737129
2025-05-27 00:00:00+00:00,KMNO,0.014995455922447887,0.014995455922447887,-0.0748905836749234,-0.0776905836749234
2025-05-28 00:00:00+00:00,KMNO,0.03790479032980154,0.03710479032980154,-0.036985793345121865,-0.040585793345121864
2025-05-29 00:00:00+00:00,KMNO,0.037381727935473896,0.037381727935473896,0.0003959345903520317,-0.0032040654096479673
2025-05-30 00:00:00+00:00,KMNO,-0.1263293586851434,-0.12712935868514338,-0.12593342409479136,-0.13033342409479134
2025-05-31 00:00:00+00:00,KMNO,0.00092216894135011,0.00092216894135011,-0.12501125515344125,-0.12941125515344123
2025-06-01 00:00:00+00:00,KMNO,0.06891468583010862,0.06891468583010862,-0.05609656932333262,-0.06049656932333261
2025-06-02 00:00:00+00:00,KMNO,0.03378727805550763,0.03298727805550763,-0.022309291267824993,-0.027509291267824983
2025-06-03 00:00:00+00:00,KMNO,-0.020160570918822396,-0.020160570918822396,-0.04246986218664739,-0.04766986218664738
2025-06-04 00:00:00+00:00,KMNO,0.0711787338230151,0.0711787338230151,0.028708871636367705,0.023508871636367716
2025-06-05 00:00:00+00:00,KMNO,0.011485595932969273,0.011485595932969273,0.04019446756933698,0.03499446756933699
2025-06-06 00:00:00+00:00,KMNO,-0.014666666666666606,-0.014666666666666606,0.025527800902670372,0.020327800902670383
2025-06-07 00:00:00+00:00,KMNO,0.0058194105500281035,0.0058194105500281035,0.031347211452698476,0.026147211452698486
2025-06-08 00:00:00+00:00,KMNO,0.0011329305135950873,0.0011329305135950873,0.03248014196629356,0.027280141966293574
2025-06-09 00:00:00+00:00,KMNO,-0.05368620037807181,-0.05368620037807181,-0.02120605841177825,-0.02640605841177824
2025-06-10 00:00:00+00:00,KMNO,-0.12127735916756377,-0.12127735916756377,-0.14248341757934202,-0.147683417579342
2025-06-11 00:00:00+00:00,KMNO,-0.04048000000000007,-0.04048000000000007,-0.1829634175793421,-0.18816341757934207
2025-06-12 00:00:00+00:00,KMNO,0.09334153467630335,0.09334153467630335,-0.08962188290303874,-0.09482188290303872
2025-06-13 00:00:00+00:00,KMNO,-0.11550203527815461,-0.11550203527815461,-0.20512391818119335,-0.21032391818119334
2025-06-14 00:00:00+00:00,KMNO,-0.04348487152197056,-0.04428487152197056,-0.2486087897031639,-0.2546087897031639
2025-06-15 00:00:00+00:00,KMNO,0.0818629788586871,0.0818629788586871,-0.16674581084447682,-0.17274581084447682
2025-06-16 00:00:00+00:00,KMNO,0.018953864237437612,0.018953864237437612,-0.1477919466070392,-0.1537919466070392
2025-06-17 00:00:00+00:00,KMNO,0.03994232155731792,0.039142321557317915,-0.10784962504972129,-0.11464962504972129
2025-06-18 00:00:00+00:00,KMNO,0.00270351456893958,0.0019035145689395802,-0.10514611048078171,-0.1127461104807817
2025-06-19 00:00:00+00:00,KMNO,0.016476932294787305,0.015676932294787307,-0.0886691781859944,-0.09706917818599439
2025-06-20 00:00:00+00:00,KMNO,-0.04264392324093813,-0.04344392324093813,-0.13131310142693253,-0.14051310142693252
2025-06-21 00:00:00+00:00,KMNO,-0.04597518294622971,-0.04597518294622971,-0.17728828437316224,-0.18648828437316223
2025-06-22 00:00:00+00:00,KMNO,0.060697015174253854,0.05989701517425385,-0.11659126919890839,-0.12659126919890837
2025-06-23 00:00:00+00:00,KMNO,-0.11450381679389321,-0.11450381679389321,-0.2310950859928016,-0.24109508599280158
2025-06-24 00:00:00+00:00,KMNO,-0.02755654667091434,-0.028356546670914338,-0.25865163266371594,-0.2694516326637159
2025-06-25 00:00:00+00:00,KMNO,0.03570843570843574,0.034908435708435735,-0.2229431969552802,-0.23454319695528017
2025-06-26 00:00:00+00:00,KMNO,0.038049940546967864,0.038049940546967864,-0.18489325640831233,-0.1964932564083123
2025-06-27 00:00:00+00:00,KMNO,0.02013067278827485,0.019330672788274852,-0.16476258362003748,-0.17716258362003745
2025-06-28 00:00:00+00:00,KMNO,-0.03756274883157351,-0.038362748831573514,-0.202325332451611,-0.21552533245161096
2025-06-29 00:00:00+00:00,KMNO,-0.03403403403403393,-0.03403403403403393,-0.23635936648564493,-0.2495593664856449
2025-06-30 00:00:00+00:00,KMNO,0.037270087124879,0.037270087124879,-0.19908927936076593,-0.2122892793607659
2025-07-01 00:00:00+00:00,KMNO,-0.03703703703703709,-0.03783703703703709,-0.23612631639780302,-0.250126316397803
2025-07-02 00:00:00+00:00,KMNO,0.070657848938392,0.070657848938392,-0.16546846745941102,-0.17946846745941097
2025-07-03 00:00:00+00:00,KMNO,0.0032509752925877766,0.0024509752925877767,-0.16221749216682324,-0.1770174921668232
2025-07-04 00:00:00+00:00,KMNO,0.05251141552511418,0.05251141552511418,-0.10970607664170906,-0.12450607664170901
2025-07-05 00:00:00+00:00,KMNO,0.0018932874354560258,0.001093287435456026,-0.10781278920625303,-0.12341278920625298
2025-07-06 00:00:00+00:00,KMNO,-0.021645765332417022,-0.021645765332417022,-0.12945855453867006,-0.14505855453867
2025-07-07 00:00:00+00:00,KMNO,-0.022300263388937647,-0.022300263388937647,-0.1517588179276077,-0.16735881792760765
2025-07-08 00:00:00+00:00,KMNO,-0.015804597701149392,-0.015804597701149392,-0.1675634156287571,-0.18316341562875704
2025-07-09 00:00:00+00:00,KMNO,0.059489051094890444,0.059489051094890444,-0.10807436453386665,-0.1236743645338666
2025-07-10 00:00:00+00:00,KMNO,0.060454702032380236,0.060454702032380236,-0.047619662501486415,-0.06321966250148636
2025-07-11 00:00:00+00:00,KMNO,0.008283254831898623,0.007483254831898623,-0.03933640766958779,-0.05573640766958774
2025-07-12 00:00:00+00:00,KMNO,0.03160825417622015,0.03160825417622015,-0.00772815349336764,-0.02412815349336759
2025-07-13 00:00:00+00:00,KMNO,-0.02316928800947049,-0.02316928800947049,-0.03089744150283813,-0.04729744150283808
2025-07-14 00:00:00+00:00,KMNO,0.019173553719008307,0.019173553719008307,-0.011723887783829823,-0.028123887783829772
2025-07-15 00:00:00+00:00,KMNO,-0.03488372093023262,-0.03488372093023262,-0.04660760871406244,-0.06300760871406239
2025-07-16 00:00:00+00:00,KMNO,-0.023937469467513628,-0.023937469467513628,-0.07054507818157607,-0.08694507818157601
2025-07-17 00:00:00+00:00,KMNO,-0.007633587786259444,-0.007633587786259444,-0.07817866596783551,-0.09457866596783546
2025-07-18 00:00:00+00:00,KMNO,-0.009943181818181879,-0.009943181818181879,-0.0881218477860174,-0.10452184778601734
2025-07-19 00:00:00+00:00,KMNO,0.00937646507266765,0.00937646507266765,-0.07874538271334974,-0.09514538271334969
2025-07-20 00:00:00+00:00,KMNO,-0.028080138823158185,-0.028080138823158185,-0.10682552153650793,-0.12322552153650787
2025-07-21 00:00:00+00:00,KMNO,-0.05355224796685576,-0.05355224796685576,-0.1603777695033637,-0.17677776950336363
2025-07-22 00:00:00+00:00,KMNO,-0.008447422079813638,-0.008447422079813638,-0.16882519158317733,-0.18522519158317727
2025-07-23 00:00:00+00:00,KMNO,0.13214904679376083,0.13214904679376083,-0.0366761447894165,-0.05307614478941644
2025-07-24 00:00:00+00:00,KMNO,-0.014145448493925739,-0.014945448493925739,-0.05082159328334224,-0.06802159328334217
2025-07-25 00:00:00+00:00,KMNO,0.013673193787981042,0.013673193787981042,-0.037148399495361195,-0.05434839949536113
2025-07-26 00:00:00+00:00,KMNO,-0.011323896752706064,-0.011323896752706064,-0.04847229624806726,-0.0656722962480672
2025-07-27 00:00:00+00:00,KMNO,0.007748020885969487,0.007748020885969487,-0.04072427536209777,-0.05792427536209771
2025-07-28 00:00:00+00:00,KMNO,0.05315059334781891,0.052350593347818906,0.012426317985721136,-0.005573682014278804
2025-07-29 00:00:00+00:00,KMNO,0.007413945278023082,0.0066139452780230815,0.019840263263744218,0.0010402632637442778
2025-07-30 00:00:00+00:00,KMNO,-0.0038549150166463653,-0.0038549150166463653,0.015985348247097853,-0.0028146517529020875
2025-07-31 00:00:00+00:00,KMNO,-0.08496042216358846,-0.08496042216358846,-0.0689750739164906,-0.08777507391649055
2025-08-01 00:00:00+00:00,KMNO,-0.03114186851211065,-0.03114186851211065,-0.10011694242860125,-0.1189169424286012
2025-08-02 00:00:00+00:00,KMNO,0.04067460317460325,0.03987460317460325,-0.059442339253998,-0.07904233925399795
2025-08-03 00:00:00+00:00,KMNO,0.03391933815925552,0.03311933815925552,-0.02552300109474248,-0.045923001094742434
2025-08-04 00:00:00+00:00,KMNO,0.047009401880375945,0.047009401880375945,0.021486400785633464,0.0010864007856335109
2025-08-05 00:00:00+00:00,KMNO,0.04967520061138708,0.04887520061138708,0.07116160139702055,0.04996160139702059
2025-08-06 00:00:00+00:00,KMNO,0.00965018094089265,0.00885018094089265,0.0808117823379132,0.05881178233791324
2025-08-07 00:00:00+00:00,KMNO,0.033851055356431736,0.033851055356431736,0.11466283769434493,0.09266283769434497
2025-08-08 00:00:00+00:00,KMNO,-0.010593220338983134,-0.011393220338983134,0.1040696173553618,0.08126961735536184
2025-08-09 00:00:00+00:00,KMNO,-0.03678292357537627,-0.03678292357537627,0.06728669377998553,0.04448669377998557
2025-08-10 00:00:00+00:00,KMNO,0.004963235294117685,0.004963235294117685,0.07224992907410321,0.049449929074103255
2025-08-11 00:00:00+00:00,KMNO,-0.04433770552373917,-0.04513770552373917,0.027912223550364046,0.004312223550364085
2025-08-12 00:00:00+00:00,KMNO,0.10670790643727046,0.10670790643727046,0.1346201299876345,0.11102012998763455
2025-08-13 00:00:00+00:00,KMNO,-0.07668122270742361,-0.07748122270742361,0.057938907280210894,0.033538907280210944
2025-08-14 00:00:00+00:00,KMNO,-0.01800778715120055,-0.01800778715120055,0.039931120129010345,0.015531120129010395
2025-08-15 00:00:00+00:00,KMNO,0.05402390438247007,0.05402390438247007,0.09395502451148041,0.06955502451148046
2025-08-16 00:00:00+00:00,KMNO,0.01920485175202158,0.01840485175202158,0.11315987626350199,0.08795987626350205
2025-08-17 00:00:00+00:00,KMNO,-0.01900826446281001,-0.019808264462810008,0.09415161180069198,0.06815161180069204
2025-08-18 00:00:00+00:00,KMNO,-0.04833738848337399,-0.04913738848337399,0.04581422331731799,0.01901422331731805
2025-08-19 00:00:00+00:00,KMNO,-0.055053690131242505,-0.055053690131242505,-0.009239466813924513,-0.036039466813924455
2025-08-20 00:00:00+00:00,KMNO,0.045634920634920695,0.045634920634920695,0.03639545382099618,0.00959545382099624
2025-08-21 00:00:00+00:00,KMNO,-0.03639813696739691,-0.03639813696739691,-2.683146400728198e-06,-0.02680268314640067
2025-08-22 00:00:00+00:00,KMNO,0.08861439312567132,0.08861439312567132,0.08861170997927059,0.06181170997927065
2025-08-23 00:00:00+00:00,KMNO,0.024666995559940785,0.023866995559940787,0.11327870553921138,0.08567870553921143
2025-08-24 00:00:00+00:00,KMNO,-0.03287809812847753,-0.03287809812847753,0.08040060741073385,0.052800607410733905
2025-08-25 00:00:00+00:00,KMNO,0.12275546849493957,0.12275546849493957,0.20315607590567342,0.17555607590567346
2025-08-26 00:00:00+00:00,KMNO,0.05098622999627844,0.05018622999627844,0.25414230590195186,0.2257423059019519
2025-08-27 00:00:00+00:00,KMNO,-0.0051345609065156506,-0.0051345609065156506,0.2490077449954362,0.22060774499543626
2025-08-28 00:00:00+00:00,KMNO,-0.03790710090763483,-0.03870710090763483,0.21110064408780138,0.18190064408780143
2025-08-29 00:00:00+00:00,KMNO,0.043724279835390845,0.043724279835390845,0.2548249239231922,0.22562492392319228
